Timestamp,What is your home state? (Use two letter abbreviation),How many miles from your permanent home/apartment to JMU? (Use Google Maps or similar) ,Bagels or Doughnuts?,"On a long road trip, which would you rather be in charge of the music?"
2023/05/25 10:29:37 AM AST,VA,71,Bagels,B
2023/05/25 10:35:26 AM AST,MA,576,Bagels,E
2023/05/25 11:14:19 AM AST,Va,18,Bagels,C
2023/05/25 11:15:49 AM AST,VA,77 Mi,Doughtnuts,E
2023/05/25 11:18:31 AM AST,VA,69.6,Bagels,A
2023/05/25 12:06:32 PM AST,Maryland ,214,Doughtnuts,E
2023/05/25 12:16:50 PM AST,TX,1248 miles,Doughtnuts,E
2023/05/25 12:45:35 PM AST,CA,2708 mi,Doughtnuts,E
2023/05/25 1:02:31 PM AST,Illinois ,751,Doughtnuts,E
2023/05/25 4:13:27 PM AST,Ne,"1,193 miles",Doughtnuts,D
