id,rg,io,mass,N
SASDP64,2.077,0.00819054,11,77
SASDQM4,3.11,747.807,79.8,496
SASDQN4,3.41,737.619,93.1,496
SASDQP4,3.21,0.0456485,82,496
SASDM47,2.98,234.179,66,427
SASDM57,4.751,296.956,125,427
SASDPV3,4.67,0.133735,565,561
SASDPW3,4.49,0.111932,432,561
SASDPX3,3.32,0.048209,163,561
SASDPY3,3.31,0.052021,194,561
SASDRC3,2.874,0.0158874,NA,129
SASDRD3,1.939,0.01234,NA,129
SASDHH7,2.34,26.74,38,235
SASDHL7,4.9,58.27,136,564
SASDHM7,4.36,56.04,160,504
SASDQF5,3.601,8.17271,108,492
SASDQJ5,3.195,4.79821,78,378
SASDQL5,2.971,9.52987,58,270
SASDQT4,4.46,7924.67,454,211
SASDQU4,4.4,9782.43,440,211
SASDQV4,4.19,4697.45,464,211
SASDQW4,4.16,1560.88,439,211
SASDQX4,4.15,1665.39,427,211
SASDQY4,4.49,10257,453,211
SASDQZ4,4.21,1042.13,458,211
SASDQ25,4.42,10077.4,438,211
SASDQ35,4.51,7285.76,451,205
SASDQ45,4.39,10205.3,412,205
SASDQ55,4.38,10780.6,409,205
SASDQ65,4.45,10361.9,404,205
SASDQ75,4.5,11564.4,431,205
SASDMT7,2.34,0.0332525,78.21,438
SASDRJ2,3.983,0.931637,103,457
SASDRK2,5.864,1.05786,145,457
SASDRL2,4.085,0.708293,84,457
SASDRM2,5.781,1.61581,142,457
SASDRN2,6.463,0.192666,729,457
SASDRP2,6.43,0.249002,723,457
SASDRQ2,6.442,0.234475,758,457
SASDRR2,6.474,0.361173,769,457
SASDPL2,2.497,0.0812494,85.04,501
SASDQ37,2.977,0.0210215,96.1,246
SASDQ47,2.86,0.0442845,67.6,217
SASDQ57,3.949,0.0362201,145,459
SASDQ67,4.587,0.0613781,198,196
SASDQ77,4.683,0.0471338,217,243
SASDQT6,3.08,0.0827898,80,416
SASDQJ9,10.372,0.0573705,2156,467
SASDQK9,10.585,0.0308844,3410,467
SASDQT5,2,0.0478197,23.7,165
SASDQU5,1.9,0.0455074,25,165
SASDQB7,3.67,0.0297388,48,133
SASDQC7,3.95,0.0214989,49,135
SASDQD7,2.753,0.0184433,22,79
SASDQE7,2.734,0.0151487,20.5,79
SASDQF7,3.737,0.0299621,47,137
SASDNG9,1.843,1220.9,33,197
SASDNH9,1.976,1263.16,38,197
SASDNJ9,1.998,1265.73,38,197
SASDPV2,9.104,3.33634,NA,153
SASDPW2,9.577,3.59284,NA,153
SASDPX2,3.7,0.136064,NA,153
SASDLY8,3.2,80970,NA,306
SASDPY2,2.496,0.792751,50,283
