,filename,frame_number,well_num,buffer,rg_med,rg_std_err_med,rg_pstat,io_med,Vp,mass_vp
0,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00001.sub.1.dat,00001,A12,Buffer1,32.74474984873831,9.472524787553764,2.516848611269908e-09,12.924795213222707,134709.2305721651,111.80866137489704
1,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00002.sub.1.dat,00002,A12,Buffer1,23.34377680256245,9.957740255360402,1.5246187663298325e-07,8.69278266437133,64773.81518947486,53.76226660726413
2,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00003.sub.1.dat,00003,A12,Buffer1,22.486607147865143,10.380242528737975,5.208082280527575e-12,8.749725068711246,62409.53780897373,51.79991638144819
3,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00004.sub.1.dat,00004,A12,Buffer1,25.76689134012737,9.80257232069859,9.27075323448631e-06,10.602588063509042,90129.14453077113,74.80718996054003
4,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00005.sub.1.dat,00005,A12,Buffer1,22.78036776857228,3.2390151218322614,1.7563839940394438e-06,9.175982631236094,63767.515501353366,52.92703786612329
5,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00006.sub.1.dat,00006,A12,Buffer1,27.019335511566684,13.55028849410178,1.472285048540632e-05,10.446647080027912,90614.35465826014,75.20991436635592
6,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00007.sub.1.dat,00007,A12,Buffer1,24.965154214625116,10.501833794574805,1.2135008144232811e-05,9.114914321974558,75132.45547589114,62.35993804498965
7,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00008.sub.1.dat,00008,A12,Buffer1,20.306037895347654,6.2717523735762315,1.1890616993917122e-07,7.598812202218299,45304.71658115262,37.602914762356676
8,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00009.sub.1.dat,00009,A12,Buffer1,22.11334066330868,5.673472152574852,2.1313818341514565e-05,9.267719090384032,64806.273626586146,53.7892071100665
9,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00010.sub.1.dat,00010,A12,Buffer1,19.755062663690214,4.345516917384175,4.830479021873366e-09,7.122985201709247,41879.16579361331,34.75970760869905
10,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00011.sub.1.dat,00011,A12,Buffer1,24.305887401733315,8.052014698390904,5.557900111736255e-06,10.309163459258958,84305.69286779629,69.97372508027092
11,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00012.sub.1.dat,00012,A12,Buffer1,19.9067785287919,9.088674614980132,8.354520997395105e-07,7.914946865483277,46195.36232818834,38.34215073239633
12,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00013.sub.1.dat,00013,A12,Buffer1,31.393528340976367,11.948740533904838,2.2848835694432826e-07,12.265236292302752,121512.57854616681,100.85544019331846
13,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00014.sub.1.dat,00014,A12,Buffer1,20.70123590900374,5.148379997715702,5.026650280955818e-10,7.556796430141244,47362.68607127118,39.31102943915508
14,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00015.sub.1.dat,00015,A12,Buffer1,24.819799424051936,4.165095089259162,5.324099068467632e-06,10.231481452942939,85735.72300728211,71.16065009604415
15,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00016.sub.1.dat,00016,A12,Buffer1,28.177305563159067,8.242393188357102,0.0007232565204594722,11.643055269836147,108459.67901927725,90.02153358600012
16,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00017.sub.1.dat,00017,A12,Buffer1,25.10112231437189,8.891154194484622,7.905714101107738e-05,10.42081904411025,82783.38014032746,68.71020551647179
17,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00018.sub.1.dat,00018,A12,Buffer1,20.65294297883846,7.352058045193049,3.3214707914269947e-06,9.23168421492877,58686.659419660275,48.70992731831803
18,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00019.sub.1.dat,00019,A12,Buffer1,16.672674206543125,6.473114132391425,4.1593025081035123e-07,5.935625926349558,25839.413765999834,21.446713425779862
19,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00020.sub.1.dat,00020,A12,Buffer1,28.61326553944258,7.744153449509725,8.2954378333394e-06,11.865541737832297,107616.10851471631,89.32137006721454
20,Subtracted\A12_results\Buffer1\A12_Fe3_WTHBD_low_buff1_snap_00021.sub.1.dat,00021,A12,Buffer1,19.509495270945617,8.293597492732745,1.1522103028081727e-07,7.008719929474241,37184.62251481295,30.86323668729475
