,well number,buffer,max frames,rg average,mass average,rg error,io average,porod average,vcqm average
0,D7,Average,6.0,16.127323809342506,16.936604966773977,3.580739465866495,16.095905634479404,3.7329422793119225,8.26834928334274
1,D7,Buffer2,3.0,8.906906247613806,7.929664604458021,3.916772414308259,7.555885980088615,1.5963733391443982,3.8874744343582837
2,D7,Buffer1,2.0,17.377645373904574,18.583353173287193,6.891803191039027,17.60049842674589,3.3890681295497562,9.04143462385259
3,B11,Average,8.0,31.86084335016755,58.18699529255744,2.758757370603689,35.30395328773623,4.121997258381665,22.38375390810693
4,B11,Buffer2,1.0,29.353811596373028,53.571946994623325,nan,31.664884606424387,4.350359695854453,20.56719889179121
5,B11,Buffer1,11.0,27.763991147659393,50.69040955019295,4.5172546410707275,30.966050610714714,3.560594340964603,19.66076724955636
6,D6,Average,8.0,9.763724697651986,8.56493214564333,3.58784214174388,2.9906326180084304,1.7839338672209988,4.2202329308951345
7,D6,Buffer2,1.0,3.835331055248807,2.0473393918832423,nan,0.7309873442008543,nan,1.0357054745040644
8,D6,Buffer1,3.0,11.593481847275164,10.916279178229042,4.102131311791826,3.799382834585442,1.7962268117443732,5.37115345262097
9,A4,Average,34.0,36.26089314510658,70.90299752298657,1.7047286843214497,100.16736327016822,4.0943875784620625,26.07168413856995
10,A4,Buffer2,12.0,35.08050337393676,70.10512636360049,2.3681764187865624,99.55760161943515,4.093105238303575,25.517570536466167
11,A4,Buffer1,6.0,34.905173309753366,70.21055318688865,1.044823714946882,100.13300958535764,4.116273313609623,25.55218587570698
12,F10,Average,24.0,6.107257473858723,3.265348956399197,0.49720866146398235,3.820808972812165,nan,5.819728629060151
13,F10,Buffer2,26.0,6.199598428399436,3.266093123299584,0.6485993372664532,3.823779945825701,1.924436736570171,5.850791414359765
14,F10,Buffer1,1.0,4.561614287597421,2.6343908920245718,nan,3.08866390491229,nan,4.730300528514781
15,A8,Average,1.0,8.169924848811988,2.687528135992732,nan,1.2421553559148162,2.3360226178153494,1.049178170350889
16,A8,Buffer2,5.0,24.370188928501012,43.26715570971677,2.6986230139382927,20.37696237140763,3.1135340045948072,17.21634275248997
17,A8,Buffer1,5.0,29.526606586269033,54.41433883219007,3.3701680988772567,25.413697490007696,4.18578768780589,21.4469067587572
18,D1,Average,25.0,18.39564365393342,25.122084867153077,8.411798022277825,9.309893581869689,2.927955366683138,11.06822988212586
19,D1,Buffer2,8.0,16.077163899437004,19.585388445812757,7.03764669794091,8.756527841227513,2.4684706265760834,9.128868603487469
20,D1,Buffer1,2.0,13.340814186997063,17.47488767854066,8.150168747359952,5.676421919479115,9.086753981722135,7.603498242718924
21,A9,Average,3.0,33.23114449276114,65.38330021131748,1.9671121852422921,82.53827294981592,4.000011487187183,24.45560191359385
22,A9,Buffer2,2.0,29.36193706304865,56.26560276142489,4.464345337099385,71.49784822786614,3.4456695079348303,21.09478419396558
23,A9,Buffer1,6.0,34.562351853183216,66.99628295025754,1.159157952590647,84.55774011450309,4.159094137374503,24.928326382138554
24,A12,Average,0.0,nan,nan,nan,nan,nan,nan
25,A12,Buffer2,0.0,nan,nan,nan,nan,nan,nan
26,A12,Buffer1,2.0,27.71567395584052,46.07775416818706,4.878415124235138,11.816420258378107,3.236196175392167,20.1921614240528
27,C9,Average,5.0,7.033497622106246,2.099069454679222,1.7955487009736046,1.5825350418548498,0.3609885738295592,0.4624151835862664
28,C9,Buffer2,1.0,5.780676135877395,1.2672586478835408,nan,0.95577163933082,nan,0.2797298258038588
29,C9,Buffer1,4.0,8.410909386046473,2.710509151760446,0.6976680004402868,2.0421813752987683,5.417693458600955,0.5959819581498618
30,D12,Average,1.0,28.01074891973949,32.73974495319209,nan,28.86865538498494,2.8273786295775403,15.819695817387707
31,D12,Buffer2,7.0,12.599586648492012,12.331723320730589,4.065830434860854,10.934864770834825,3.1196954260239735,6.012537853119237
32,D12,Buffer1,6.0,10.98127180003412,10.26846937897028,3.4825472335004415,9.0355272622789,3.4150757366648143,4.967893394690867
33,A2,Average,3.0,20.573950589437132,31.925672480539802,2.2896640427661765,6.168420589761752,1.5082748605144385,14.991673696793214
34,A2,Buffer2,2.0,14.766254303385628,21.134827509705165,0.9107268929060868,4.310268812491389,0.5773257489342659,10.3687925113576
35,A2,Buffer1,15.0,19.994438865339152,28.75646107508662,5.228321233173861,5.860304983763928,1.2737313958086722,14.111579769433641
36,B1,Average,1.0,25.930354925415458,46.02740655008099,14.996984190953171,50.494340001247004,4.058778114603857,17.241006978025116
37,B1,Buffer2,7.0,27.707023287840148,48.27634062155073,8.446246354569439,41.31876492872533,3.130397531394366,19.022868783847944
38,B1,Buffer1,1.0,20.28434648347034,35.31326198435082,12.498199309355037,38.390792923780815,3.5658734128044083,13.630316723246901
39,G1,Average,12.0,9.37664168727649,3.4420062458501968,6.867814419961873,0.3105264057112299,1.2010240028319032,5.9858119119023
40,G1,Buffer2,4.0,10.880120504073618,4.003410356457545,7.163688758536841,0.3796013314027573,0.42024564058262903,6.805825172427953
41,G1,Buffer1,1.0,19.561542854125186,5.444126535329616,15.61120861641508,0.4802772735198969,0.5331330061770911,8.567796501321094
42,H4,Average,4.0,14.236341086342806,3.1750931431148794,3.4378772528745847,0.11455815138121672,0.3998586953179194,5.167185219731775
43,H4,Buffer2,10.0,9.000441758068309,2.339011178466032,5.411531171635548,0.12410832689501372,1.8390337604987272,4.169521602795652
