filename,rg_med,rg_ts,rg_ts_h,rg_ts_l,io_med,io_ts,Vp,mass_vp,porod_poly,porod_ts,porod_ts_h,porod_ts_l,rc_med,rc_std_err_med,rad_rat,elong,vc,rgvc,N,M
SASBDB_protein_dat\SASDA26.dat,31.14,27.75,26.93,28.4,1085.51,1152.39,55176.95,45.8,2.38,1.49,1.41,1.56,19.165,11.917,1.447951996,FALSE,301.59,21.27,378,42.34
SASBDB_protein_dat\SASDA28.dat,23.51,25.13,24.98,25.27,1000.69,1154.56,87025.1,72.23,2.44,2.64,2.6,2.69,13.312,6.62,1.887770433,FALSE,371.04,23.59,511,57.23
SASBDB_protein_dat\SASDA35.dat,25.28,24.87,24.82,24.91,45.5,45.44,85128.88,70.66,2.71,2.74,2.69,2.79,12.214,4.322,2.036187981,FALSE,361.84,23.3,493,55.22
SASBDB_protein_dat\SASDA37.dat,30.06,28.21,27.03,29.39,2706.72,2587.75,30717.59,25.5,2.07,1.17,1.12,1.22,12.321,7.196,2.289586884,FALSE,229.65,18.56,254,28.45
SASBDB_protein_dat\SASDA38.dat,36.14,30.89,30.49,31.28,1634.33,1774.5,155792.05,129.31,2.58,2.35,2.25,2.43,16.111,6.242,1.917323568,FALSE,519.61,27.92,837,93.74
SASBDB_protein_dat\SASDA39.dat,23.52,18.45,18.12,18.78,1.92,1.87,19607.39,16.27,2.47,2.24,2.12,2.37,18.802,14.68,0.981278587,FALSE,187.21,16.76,188,21.06
SASBDB_protein_dat\SASDA46.dat,26.68,27.19,26.58,27.82,1506.44,1671.11,67185.89,55.76,2.31,1.92,1.88,1.97,13.794,7.693,1.971146875,FALSE,335.15,22.42,441,49.39
SASBDB_protein_dat\SASDA47.dat,36.7,29.3,28.18,30.5,3727.76,3078.51,34453.08,28.6,1.56,1.16,1.13,1.2,12.084,6.498,2.42469381,FALSE,238.54,18.92,268,30.02
SASBDB_protein_dat\SASDA48.dat,34.57,38.37,37.88,38.66,18361.16,21045.72,259659.66,215.52,2.26,2.25,2.21,2.28,17.219,5.996,2.228352401,FALSE,726.39,33.01,1366,152.99
SASBDB_protein_dat\SASDA49.dat,36.16,34.54,33.32,36.11,7373.99,5072.47,119275.3,99,2.15,2.08,2.04,2.13,21.059,11.565,1.640153853,FALSE,405.58,24.67,583,65.3
SASBDB_protein_dat\SASDA55.dat,37.4,40.21,39.99,40.48,0.44,0.5,405657.69,336.7,2.75,2.77,2.68,2.85,19.274,9.137,2.086230155,FALSE,955.63,37.86,2039,228.37
SASBDB_protein_dat\SASDA57.dat,40.37,31.45,29.92,33.17,3763.58,2959.67,41624.68,34.55,1.76,1.23,1.17,1.29,13.382,8.098,2.350171873,FALSE,255.21,19.57,296,33.15
SASBDB_protein_dat\SASDA58.dat,28.82,25.35,25.17,25.52,2772.17,2905.08,102340.26,84.94,2.42,2.46,2.36,2.54,13.667,5.09,1.854832809,FALSE,390.99,24.22,552,61.82
